TestID,A,B,OP,Expected,Actual,Result
356,6,11,101,12,12,PASS,96.09
357,14,14,100,0,0,PASS,96.09
358,8,14,11,14,14,PASS,96.09
359,6,15,0,21,21,PASS,96.09
360,7,8,1,-1,31,FAIL,96.09
361,7,15,100,8,8,PASS,96.09
362,15,11,0,26,26,PASS,96.09
363,8,9,100,1,1,PASS,96.09
364,6,9,0,15,15,PASS,96.09
365,0,5,11,5,5,PASS,96.09
366,13,0,100,13,13,PASS,96.09
367,12,15,100,3,3,PASS,96.09
368,11,1,0,12,12,PASS,96.09
369,8,14,0,22,22,PASS,96.09
370,7,0,10,0,0,PASS,96.09
371,6,3,101,12,12,PASS,96.09
372,13,14,11,15,15,PASS,96.09
373,11,12,10,8,8,PASS,96.09
374,4,8,11,12,12,PASS,96.09
375,3,15,1,-12,20,FAIL,96.09
376,9,7,0,16,16,PASS,96.09
377,9,12,100,5,5,PASS,96.09
378,15,10,101,30,30,PASS,96.09
379,3,6,110,1,1,PASS,96.09
380,4,13,10,4,4,PASS,96.09
381,8,5,100,13,13,PASS,96.09
382,15,3,110,7,7,PASS,96.09
383,6,12,0,18,18,PASS,96.09
384,11,15,100,4,4,PASS,96.09
385,4,10,110,2,2,PASS,96.09
386,4,1,11,5,5,PASS,96.09
387,1,12,0,13,13,PASS,96.09
388,11,7,101,22,22,PASS,96.09
389,4,0,0,4,4,PASS,96.09
390,14,6,100,8,8,PASS,96.09
391,0,3,100,3,3,PASS,96.09
392,11,14,11,15,15,PASS,96.09
393,6,2,10,2,2,PASS,96.09
394,5,13,101,10,10,PASS,96.09
395,2,0,100,2,2,PASS,96.09
396,7,15,10,7,7,PASS,96.09
397,5,0,11,5,5,PASS,96.09
398,6,2,1,4,4,PASS,96.09
399,8,1,101,16,16,PASS,96.09
400,15,10,110,7,7,PASS,96.09
401,4,7,101,8,8,PASS,96.09
402,3,3,10,3,3,PASS,96.09
403,3,12,10,0,0,PASS,96.09
404,6,1,0,7,7,PASS,96.09
405,1,1,10,1,1,PASS,96.09
406,1,13,110,0,0,PASS,96.09
407,12,6,110,6,6,PASS,96.09
408,10,2,110,5,5,PASS,96.09
409,13,14,100,3,3,PASS,96.09
410,2,8,11,10,10,PASS,96.09
411,0,14,101,0,0,PASS,96.09
412,0,15,101,0,0,PASS,96.09
413,6,2,1,4,4,PASS,96.09
414,9,5,0,14,14,PASS,96.09
415,5,13,1,-8,24,FAIL,96.09
416,5,2,10,0,0,PASS,96.09
417,13,7,110,6,6,PASS,96.09
418,14,6,10,6,6,PASS,96.09
419,12,11,10,8,8,PASS,96.09
420,2,5,110,1,1,PASS,96.09
421,13,10,100,7,7,PASS,96.09
422,11,14,110,5,5,PASS,96.09
423,4,4,1,0,0,PASS,96.09
424,15,12,110,7,7,PASS,96.09
425,12,14,100,2,2,PASS,96.09
426,13,2,1,11,11,PASS,96.09
427,5,5,110,2,2,PASS,96.09
428,12,6,1,6,6,PASS,96.09
429,9,11,1,-2,30,FAIL,96.09
430,10,9,0,19,19,PASS,96.09
431,7,5,100,2,2,PASS,96.09
432,13,4,0,17,17,PASS,96.09
433,0,5,101,0,0,PASS,96.09
434,1,5,101,2,2,PASS,96.09
435,1,9,110,0,0,PASS,96.09
436,2,15,100,13,13,PASS,96.09
437,11,15,11,15,15,PASS,96.09
438,8,11,110,4,4,PASS,96.09
439,8,10,100,2,2,PASS,96.09
440,3,8,0,11,11,PASS,96.09
441,8,1,0,9,9,PASS,96.09
442,4,15,11,15,15,PASS,96.09
443,7,4,101,14,14,PASS,96.09
444,13,14,110,6,6,PASS,96.09
445,6,12,1,-6,26,FAIL,96.09
446,5,11,0,16,16,PASS,96.09
447,14,2,1,12,12,PASS,96.09
448,14,9,101,28,28,PASS,96.09
449,1,5,101,2,2,PASS,96.09
450,7,4,101,14,14,PASS,96.09
451,11,1,0,12,12,PASS,96.09
452,13,14,110,6,6,PASS,96.09
453,3,11,110,1,1,PASS,96.09
454,8,1,0,9,9,PASS,96.09
455,8,9,110,4,4,PASS,96.09
456,9,2,1,7,7,PASS,96.09
457,14,6,110,7,7,PASS,96.09
458,0,8,110,0,0,PASS,96.09
459,14,7,110,7,7,PASS,96.09
460,13,13,10,13,13,PASS,96.09
461,6,12,1,-6,26,FAIL,96.09
462,8,8,100,0,0,PASS,96.09
463,1,13,100,12,12,PASS,96.09
464,2,7,1,-5,27,FAIL,96.88
465,4,13,1,-9,23,FAIL,96.88
466,9,0,0,9,9,PASS,96.88
467,6,7,11,7,7,PASS,96.88
468,9,0,1,9,9,PASS,96.88
469,13,14,100,3,3,PASS,96.88
470,15,3,10,3,3,PASS,96.88
471,8,1,1,7,7,PASS,96.88
472,8,11,100,3,3,PASS,96.88
473,12,0,101,24,24,PASS,96.88
474,0,12,11,12,12,PASS,96.88
475,5,6,0,11,11,PASS,96.88
476,13,11,101,26,26,PASS,96.88
477,6,9,101,12,12,PASS,96.88
478,10,10,10,10,10,PASS,96.88
479,13,12,100,1,1,PASS,96.88
480,13,11,1,2,2,PASS,96.88
481,2,12,11,14,14,PASS,96.88
482,7,2,1,5,5,PASS,96.88
483,5,0,110,2,2,PASS,96.88
484,15,9,0,24,24,PASS,96.88
485,9,7,11,15,15,PASS,96.88
486,8,9,110,4,4,PASS,96.88
487,14,12,0,26,26,PASS,96.88
488,10,6,110,5,5,PASS,96.88
489,10,6,100,12,12,PASS,96.88
490,9,11,10,9,9,PASS,96.88
491,7,9,10,1,1,PASS,96.88
492,3,9,0,12,12,PASS,96.88
493,7,10,101,14,14,PASS,96.88
494,11,13,100,6,6,PASS,96.88
495,9,1,0,10,10,PASS,96.88
496,2,15,1,-13,19,FAIL,96.88
497,12,7,0,19,19,PASS,96.88
