A,B,Expected,Actual,PassFail,Coverage,DeltaCov,testcase_id,module_name,coverage,runtime_seconds,pass_fail,pass_rate,final_score,priority_rank,action
12,7,5,5,PASS,59.47,1.66,4bit_Subtractor_test_31,4bit_Subtractor,71.78,635000,PASS,1.0,0.5486828220556076,P1,run_early
9,7,2,2,PASS,59.57,0.1,4bit_Subtractor_test_32,4bit_Subtractor,71.88,655000,PASS,1.0,0.544755390110264,P1,run_early
14,6,8,8,PASS,61.23,1.66,4bit_Subtractor_test_6,4bit_Subtractor,33.5,135000,PASS,1.0,0.5446293393919082,P1,run_early
11,14,29,29,PASS,62.89,1.66,4bit_Subtractor_test_28,4bit_Subtractor,69.92,575000,PASS,1.0,0.5398809895879974,P1,run_early
2,3,31,31,PASS,64.55,1.66,4bit_Subtractor_test_24,4bit_Subtractor,68.07,495000,PASS,1.0,0.5397426141631891,P1,run_early
9,2,7,7,PASS,64.65,0.1,4bit_Subtractor_test_20,4bit_Subtractor,64.55,415000,PASS,1.0,0.53843808421949,P1,run_early
13,8,5,5,PASS,66.31,1.66,4bit_Subtractor_test_29,4bit_Subtractor,70.02,595000,PASS,1.0,0.5379047790397491,P1,run_early
12,2,10,10,PASS,66.41,0.1,4bit_Subtractor_test_11,4bit_Subtractor,54.3,235000,PASS,1.0,0.5372862812745008,P1,run_early
7,12,27,27,PASS,68.07,1.66,4bit_Subtractor_test_22,4bit_Subtractor,66.31,455000,PASS,1.0,0.5370984560883443,P1,run_early
14,8,6,6,PASS,68.16,0.1,4bit_Subtractor_test_25,4bit_Subtractor,68.16,515000,PASS,1.0,0.5343048726918969,P1,run_early
4,14,22,22,PASS,68.16,0.0,4bit_Subtractor_test_19,4bit_Subtractor,62.89,395000,PASS,1.0,0.5300339210379534,P1,run_early
13,14,31,31,PASS,68.26,0.1,4bit_Subtractor_test_21,4bit_Subtractor,64.65,435000,PASS,1.0,0.5284712450624087,P1,run_early
7,10,29,29,PASS,69.92,1.66,4bit_Subtractor_test_23,4bit_Subtractor,66.41,475000,PASS,1.0,0.5283574377798637,P1,run_early
0,6,26,26,PASS,70.02,0.1,4bit_Subtractor_test_14,4bit_Subtractor,57.71,295000,PASS,1.0,0.5189094980799251,P1,run_early
1,8,25,25,PASS,70.12,0.1,4bit_Subtractor_test_1,4bit_Subtractor,18.95,35000,PASS,1.0,0.5182942041028469,P1,run_early
5,3,2,2,PASS,71.78,1.66,4bit_Subtractor_test_18,4bit_Subtractor,61.23,375000,PASS,1.0,0.5179706357940186,P1,run_early
6,9,29,29,PASS,71.88,0.1,4bit_Subtractor_test_16,4bit_Subtractor,59.47,335000,PASS,1.0,0.5175683274338068,P1,run_early
7,11,28,28,PASS,71.97,0.1,4bit_Subtractor_test_13,4bit_Subtractor,56.05,275000,PASS,1.0,0.5102747359369518,P1,run_early
10,1,9,9,PASS,73.63,1.66,4bit_Subtractor_test_12,4bit_Subtractor,54.39,255000,PASS,1.0,0.5064641158952229,P1,run_early
1,11,22,22,PASS,73.73,0.1,4bit_Subtractor_test_17,4bit_Subtractor,59.57,355000,PASS,1.0,0.5052962778777326,P1,run_early
11,11,0,0,PASS,73.83,0.1,4bit_Subtractor_test_15,4bit_Subtractor,57.81,315000,PASS,1.0,0.504522656016059,P1,run_early
